Txhash,Blockno,UnixTimestamp,DateTime (UTC),From,To,ContractAddress,Value_IN(ETH),Value_OUT(ETH),CurrentValue @ $2647.29543509952/Eth,TxnFee(ETH),TxnFee(USD),Historical $Price/Eth,Status,ErrCode,Method
0x460b9aaed07f3dcf36264d8ff87d3a280b18c9a5083b3196a2af0dbf0464131d,19142219,1706895143,2/2/24 17:32,0x7cc3bc95c99dd5a6b9e8a59f42e60860bc6753b1,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.75,0,1985.471576,0.003995783,10.57801832,2307.85,,,Fill Offer ETH
0x9c2ae6fb33c03cdf52d495e6e696c49318fc1df9c906309fc8c1023967162776,19142225,1706895215,2/2/24 17:33,0x7cc3bc95c99dd5a6b9e8a59f42e60860bc6753b1,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.15,0,397.0943153,0.003676295,9.73223923,2307.85,,,Fill Offer ETH
0xd3ee1b6ee5c83ac2249f2b36d6ca9d3254e54ad10d76d7e9454bc1413974269e,19142299,1706896103,2/2/24 17:48,0x499ad7d5b5cda2467a849a334057df7f21dcadda,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.82,0,2170.782257,0.003848501,10.18811869,2307.85,,,New Offer ETH
0xcb4c3de3c1a3eba51838559ce909f6db06e3674d077735166b89d9d1c2693500,19142406,1706897387,2/2/24 18:09,0x795b98472e8ea1e9e64c23d095d72fee3d34232e,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.0984,0,260.4938708,0.003396565,8.991711543,2307.85,,,Fill Offer ETH
0x5a39d470bf05d748cf06b02c67f6d63785cab3478d5ba7c96e23c5bad3c9579a,19142410,1706897435,2/2/24 18:10,0x0653be9558c66fd0f74b26daed3b3cdb3b493144,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.7216,0,1910.288386,0.003027077,8.013566679,2307.85,,,Fill Offer ETH
0x2dfda0505516175ffcdea9355d4b63dbe7e34eb353261bd999a0ac7b48d7db53,19142414,1706897483,2/2/24 18:11,0x0653be9558c66fd0f74b26daed3b3cdb3b493144,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,4.656916667,0,12328.23423,0.003333072,8.823626469,2307.85,,,Fill Offer ETH
0x57ada4b00bc30604fbdb7c025562bb7d7d257482d44588c6c47d744686969e6f,19142417,1706897519,2/2/24 18:11,0x0653be9558c66fd0f74b26daed3b3cdb3b493144,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,1.46458,0,3877.175948,0.003080676,8.155458532,2307.85,,,Fill Offer ETH
0xc7ee4cbb3e8b80ecc64e62fb04a2c537bb7e296517488d69f0965ca76ce5cee2,19142421,1706897567,2/2/24 18:12,0x0653be9558c66fd0f74b26daed3b3cdb3b493144,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,1.989130435,0,5265.81592,0.002922815,7.737555568,2307.85,,,Fill Offer ETH
0xe172d97bc6a0d770d2dc3a5644a22528f0a52d327b9285c28761eb6f095661d9,19142427,1706897639,2/2/24 18:13,0x0653be9558c66fd0f74b26daed3b3cdb3b493144,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,1.13119186,0,2994.599048,0.002941533,7.78710711,2307.85,,,Fill Offer ETH
0x4b4c04fd8bd232630d17088a5a8fec422c3befc7c153d3b41c62121d6e6aa8fa,19142452,1706897951,2/2/24 18:19,0x1cc4dcc185eba33475d97afdc849aede65e8a244,0x1ecdb32e59e948c010a189a0798c674a2d0c6603,,0.009680233,0,25.62643546,0.002401251,6.356820132,2307.85,,,Fill Offer ETH
